,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD,size_mean,nameability,nameability_SE,SUBTLEX freq,ZipfSUBTLEX_en
count,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0
mean,0.875,0.83,6.268,0.844,5.022,1.058,3.955,1.593,5.689,0.867,6.154,0.967,3.022,1.149,210.722,0.785,0.063,1313.26,3.127
std,0.057,0.094,0.482,0.324,0.533,0.203,0.296,0.169,1.981,0.433,0.456,0.285,1.922,0.404,39.677,0.243,0.046,12550.73,1.228
min,0.7,0.7,5.026,0.311,4.0,0.364,2.93,1.166,1.081,0.16,4.71,0.385,1.114,0.229,107.159,0.0,0.0,0.0,1.0
25%,0.842,0.75,5.946,0.604,4.562,0.939,3.78,1.483,6.368,0.51,5.872,0.765,1.675,0.871,184.202,0.65,0.0,14.0,2.439
50%,0.881,0.812,6.436,0.762,5.026,1.038,3.979,1.587,6.658,0.842,6.314,0.932,2.103,1.14,211.969,0.889,0.074,112.0,3.342
75%,0.923,0.909,6.639,1.046,5.472,1.163,4.156,1.7,6.769,1.106,6.5,1.137,3.59,1.451,239.186,1.0,0.107,557.0,4.038
max,0.977,1.0,6.895,2.15,6.0,1.847,4.5,2.182,6.974,2.303,6.838,2.265,6.946,2.162,311.444,1.0,0.132,267620.0,6.72
