uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD
dress,dress,clothing; women's clothing,279.6625,0.793597178076923,0.9236344537857143,6.3333,0.8619,5.6389,0.9305,3.846153846,1.5889892630000002,6.6944,0.8559,6.2778,0.8489,2.3611,1.2907
glove,glove,clothing; clothing accessory; outerwear; protective clothing,217.2222222,0.8019675675625,0.8740908937058824,6.8205,0.3888,4.8462,0.9608,3.846153846,1.6964162390000002,6.7436,0.7511,6.6667,0.5774,1.8974,1.2936
hat,hat,clothing; clothing accessory; headwear,233.1976744,0.7896889466470588,0.739401543388889,6.5833,0.6036,5.4722,1.1585,3.581395349,1.467627793,6.6667,0.7928,6.3889,0.7664,3.0556,1.7394
pants,pants,clothing,269.30851060000003,0.8077469903846153,0.8115941249285715,6.7368,0.5032,5.3684,1.1009,3.904761905,1.79170887,6.6316,1.0761,6.6316,0.6334,2.5,1.4842
scarf,scarf,clothing; clothing accessory; outerwear,241.3142857,0.7649147788125,0.7087455452352941,6.7949,0.4091,5.6923,1.1039,4.063829787,1.552056915,6.7949,0.469,6.7692,0.4846,2.5385,1.8331
shirt,shirt,clothing,260.3977273,0.7606358998333334,0.9371225008461538,6.7368,0.5032,5.4211,1.0813,3.558139535,1.868311251,6.8158,0.4565,6.6053,0.5945,2.5,1.4658
shoe,shoe,clothing; footwear,224.4347826,0.7680353495000001,0.8863631080000001,6.4,0.5531,5.2286,1.087,3.956521739,1.490063708,6.7714,0.426,6.1714,1.1242,2.2571,1.4821
sock,sock,clothing; footwear,213.7439024,0.8203182676153846,0.8793155695714285,6.8158,0.4565,5.1316,1.143,3.888888889,1.318094738,6.7105,0.7318,6.6579,0.7081,2.2632,1.4646
t-shirt,t-shirt,clothing,259.3444444,0.8066026115333333,0.712163193125,6.7027,0.5708,5.2973,0.9388,3.673913043,1.838530184,6.7297,0.4502,6.5405,0.9887,2.9459,1.6658
tie,tie,clothing; clothing accessory,221.0121951,0.8198371450769231,0.9210752890714285,6.7027,0.5708,5.0811,1.382,3.266666667,1.826571552,6.7838,0.4793,6.6216,0.6391,2.027,1.1663
earring,earring,clothing accessory; jewelry,135.9777778,0.7795639354375,0.891022314,6.6,0.6325,5.4,1.0328,4.16,1.730400449,6.65,0.6222,6.25,1.2352,2.15,1.272
glasses,glasses,clothing accessory,205.9772727,0.7608900714117647,0.9402876535555555,6.7297,0.6078,5.3243,1.0555,3.88,1.6859563990000002,6.6757,0.8836,6.5405,0.7301,2.0541,1.4327
watch,watch,clothing accessory; jewelry,183.7934783,0.7572268380666666,0.990728022,6.6923,0.4676,5.3333,1.1317,3.591836735,1.913965858,6.7692,0.9308,6.4872,0.6437,1.7179,0.9986
ginger,ginger,condiment; food,173.26388889999998,0.8341602213333333,0.9154839944615384,6.5385,0.7896,5.2821,0.9162,4.088888889,1.578581386,1.5641,1.1652,6.3333,0.8983,6.8205,0.4514
helmet,helmet,construction equipment; headwear; protective clothing; safety equipment; sports equipment,241.3333333,0.7767722539166666,0.7628447532307692,6.3846,0.7114,4.2564,1.0935,4.392156863,1.524184128,6.6667,0.8983,6.1026,0.8206,1.4615,0.7896
rope,rope,construction equipment; tool,245.29729730000005,0.77784074325,0.865845011882353,5.825,1.035,4.075,0.797,4.261904762,1.4825739619999998,6.475,0.8767,5.85,1.0513,3.175,1.767
bag,bag,container,242.2027027,0.789145696125,0.8921195249411765,6.5946,0.6438,5.1892,1.023,4.02173913,1.639635873,6.5135,1.3869,6.5676,0.6472,1.973,1.3014
basket,basket,container,252.7888889,0.7508853761666666,0.7699359563846154,6.359,0.6684,5.3077,1.004,3.734693878,1.454526129,6.641,0.5843,6.3333,0.8377,3.9487,1.8771
bottle,bottle,container,223.0465116,0.7810316650833333,0.741795967923077,6.3333,0.7009,4.7436,0.9925,3.791666667,1.725384118,6.7692,0.4846,6.2821,0.7236,1.8462,1.4607
bowl,bowl,container,224.9555556,0.7545982490833333,0.7988876791538462,6.4474,0.6857,4.7105,0.956,3.87755102,1.844277784,6.7895,0.4741,6.1316,0.8438,1.8684,1.018
box,box,container,254.0625,0.7815396036666667,0.8965407268461539,5.4054,1.0398,4.2973,0.6176,4.333333333,1.5205448819999998,6.7297,0.4502,5.1081,1.0484,2.3243,1.5821
dustpan,dustpan,container; tool,241.7765957,0.7985797481538461,0.7212311239285715,6.3514,1.1357,4.1081,1.0484,4.294117647,1.540053475,6.6216,1.0369,6.1351,1.1344,1.7297,0.9902
glass,glass,container,218.3958333,0.7572302811666667,0.8857026616153847,6.7632,0.4309,5.1842,0.9545,4.219512195,1.4579471030000002,6.6842,0.9036,6.5,0.8929,2.8421,1.8088
measuring_cup,measuring cup,container; kitchen tool; scientific equipment,204.9625,0.7825384001666666,0.7216208164615385,6.5,0.797,4.5789,0.9762,3.3863636360000005,1.543416764,6.8684,0.3426,6.3421,1.0724,1.6316,0.913
pan,pan,container,241.3333333,0.8016121567058824,0.9208952313333333,6.25,0.7071,4.6,0.8412,4.0,1.594260539,6.7,1.1368,6.075,1.0715,1.675,1.0473
piggy_bank,piggy bank,container,231.6195652,0.8148931778235294,0.8491114428333334,5.6842,1.0681,5.3947,0.9737,3.568181818,1.703590289,6.8947,0.3883,5.3684,1.1252,1.8158,1.3528
toolbox,toolbox,container,256.1162791,0.7596588526923077,0.7103551946428571,5.2308,1.0628,4.641,0.9594,4.133333333,1.516575089,6.6154,0.8465,5.3077,1.2387,1.7692,1.4042
wallet,wallet,container,204.5222222,0.8123368032142857,0.7974532863333333,6.7027,0.5199,5.0541,1.1291,3.681818182,1.624989836,6.8378,0.4418,6.5946,0.6438,2.0,1.2247
watering_can,watering can,container; garden tool; tool,246.047619,0.7706155739285715,0.7092484857333333,6.0,1.0,4.9459,0.9412,4.0425531910000005,1.667560661,6.5676,1.119,5.9189,1.3412,1.5946,0.7623
