uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD
eggplant,eggplant,food; vegetable,222.2888889,0.845509548,0.8447080653846153,6.4211,0.6831,5.1316,1.234,4.22,1.403930343,1.5263,1.0587,6.1842,0.8654,6.5263,0.6872
fruit,fruit,food; fruit,201.4204545,0.7737217678333334,0.9536741260769231,6.3158,0.6619,5.8947,0.9806,3.652173913,1.779105784,1.6842,1.2543,6.1316,0.9634,6.7105,0.6538
garlic,garlic,food; vegetable,163.3837209,0.8030209585833333,0.9550904977692307,6.5429,0.7413,5.2,1.2078,4.4,1.58687801,1.2,0.4058,6.3714,0.9727,6.8286,0.3824
hotdog,hotdog,food,210.6222222,0.8591645821666667,0.7685070773846154,6.7692,0.4846,5.3333,1.0842,4.469387755,1.815466432,6.5641,0.8521,6.6154,0.7114,2.3846,1.6798
kiwi,kiwi,food; fruit,182.7045455,0.8073218330833334,0.7568335322307692,6.6842,0.5745,5.8684,1.3187,3.448979592,1.937150232,1.2105,0.7036,6.6316,0.7857,6.8158,0.4565
lemon,lemon,food; fruit,191.0333333,0.76534468,0.8705851166153846,6.575,0.5943,5.45,1.3578,4.0425531910000005,1.601051921,1.575,1.3939,6.4,0.6718,6.7,0.7579
mushroom,mushroom,food,174.98863640000002,0.8291089998461539,0.8745820763571429,6.4857,0.6122,4.8286,1.5432,3.830188679,1.649427046,1.2571,0.8859,6.2,0.8677,6.8857,0.4038
noodle,noodle,food,168.0930233,0.8339457904615385,0.7465896884285714,5.7949,1.6572,5.4872,1.0481,4.117647058999999,1.681036095,6.3333,0.8983,5.2564,1.5512,3.359,1.7545
onion,onion,food; vegetable,201.8,0.7959273234,0.9802083333125,6.6111,0.5989,4.1944,1.4701,3.936170213,1.465609464,1.4444,1.0809,6.4722,0.6088,6.8056,0.4672
papaya,papaya,food; fruit,221.9891304,0.7894457845833333,0.7888261122307691,6.2432,0.8302,5.7568,0.9251,4.418604651,1.7352447080000002,1.3243,0.8836,5.9189,0.7951,6.8919,0.3933
peanut,peanut,food,142.9111111,0.8247722392142858,0.7921793348666667,6.8718,0.3387,5.6154,1.1149,3.833333333,1.52885525,1.641,1.5129,6.7179,0.887,6.6667,0.6213
pomegranate,pomegranate,food; fruit,208.8617021,0.8366151238333334,0.8443631217692308,6.6571,0.5913,5.6,1.1428,3.897959184,1.7108099680000002,1.2,0.4058,6.4286,0.6547,6.8571,0.43
potato,potato,food; vegetable,200.5,0.8559303258571429,0.9822222222000001,6.5676,0.5548,5.4054,1.2793,4.292682927,1.6162286730000002,1.4865,1.0441,6.3514,0.978,6.7838,0.4173
rice,rice,food,115.4130435,0.8286313621666667,0.9580909286153846,6.1026,1.2311,5.8974,0.9402,4.1428571430000005,1.760978505,2.9231,2.0311,5.8718,1.4542,6.359,0.8425
sugar_cube,sugar cube,food,141.2093023,0.84627638625,0.8720193206923077,6.6176,0.6038,5.4706,0.9919,3.450980392,1.700749546,5.6176,1.5766,6.5588,0.7046,4.0,1.891
sweet_potato,sweet potato,food; vegetable,208.2340426,0.8203779621666666,0.8113235578461538,6.6111,0.5989,5.1667,1.5766,3.784313725,1.640898845,1.6944,1.2608,6.5833,0.5,6.6389,0.6825
tomato,tomato,food; fruit; vegetable,194.5638298,0.7927523848571428,0.9710589791333334,6.6216,0.6391,5.7838,0.9468,3.25,1.863963244,1.8108,1.2436,6.4595,0.8026,6.4324,0.9586
vegetable,vegetable,food; vegetable,200.75,0.7770000976666667,0.7783630432499999,6.1892,1.0759,5.9189,0.9243,3.901960784,1.6882523740000002,1.5676,1.2143,6.1622,1.0142,6.8378,0.3737
walnut,walnut,food,160.75,0.785925233,0.7320552988571428,6.8056,0.4672,5.4167,1.2277,3.901960784,1.6882523740000002,1.2222,0.7216,6.6944,0.5767,6.75,0.8742
wheat,wheat,food,156.2195122,0.78076494975,0.8332968313076923,6.4324,0.6472,5.1351,1.0045,3.1555555560000004,1.84582521,1.8378,1.5548,6.4324,0.6888,6.7838,0.5341
chessboard,chessboard,game,250.0,0.7675769463333334,0.844280148,6.0278,1.0278,5.4444,1.0541,3.591836735,1.619135152,6.7778,0.4216,5.9167,1.079,2.0,1.1952
